file,filename,start,end,dur,text,further remarks
engl310_01,engl310_01_27,186.97,193.82,6.85,"; uh an and this uh is uh , a happy collaboration , for me , with them ;",
engl310_01,engl310_01_28,193.33,203.34,10.01,"; uh , as i say we’ll start to , get , our discussion sections organized on monday ; uh and they should be set i hope by the wednesday ;",
engl310_01,engl310_01_29,203.04,211.37,8.33,"; lecture next week , tsk uh i want you to come to lecture on time gee well i did today i started on time ; i don’t always do that ;",
engl310_01,engl310_01_30,211,216.25,5.25,; uh but i’d like to uh and i can if you come . uh at eleven thirty ;,
engl310_01,engl310_01_31,215.85,222.83,6.98,"; bring your books , uh i’m gonna be talking . about the texts and i i hope you’ll have them open ; uh ;",
engl310_01,engl310_01_32,222.51,231.26,8.75,"; a and of course you will come , to , your discussion sections in the same state of , tsk joyful . preparedness , ; uh ;",
engl310_01,engl310_01_33,231.01,239.08,8.07,"; a as i say the the syllabuses , uh should be accessible on the class , classe's v two server , tsk however ;",
engl310_01,engl310_01_34,238.8,246.87,8.07,"; i’ve had problems with that in the past and you should please let me know if it’s not , tsk ; uh there are just two books for the course ;",
engl310_01,engl310_01_35,246.4,253.16,6.76,"; uh they’re both at labyrinth , uh one is uh the first volume of the norton ;",
engl310_01,engl310_01_36,252.69,263.25,10.56,"; anthology of modern and contemporary poetry , third edition . tsk ; uh it’s edited by jahan ramazani ; formerly a teaching fellow in this course . ;",
engl310_01,engl310_01_37,262.76,273.08,10.32,"; uh there’s also uh elizabeth bishop’s collected poems . tsk ; uh , there will be uh a packet , that you can order from r i s ; ",
engl310_01,engl310_01_38,272.77,278.18,5.41,"; that's uh , uh , gathers a few um ; tsk supplementary readings",cut on silence
engl310_01,engl310_01_39,279.35,288.52,9.17,"tsk uh there will be the visual images that i’m going to talk about in lecture ; uh and that i will , make accessible to you on the class’s server ;",starts with silence
engl310_01,engl310_01_40,287.96,296.08,8.12,"; uh there are also um . audio recordings of of the poets ; that we will be . reading , that come from sterling ;",
engl310_01,engl310_01_41,295.7,306.23,10.53,"; uh an and you can get to on the um center for language study website , tsk ; all those things uh ; uh , we can um talk about ;",
engl310_01,engl310_01_42,305.99,313.03,7.04,"; uh , more as the semester , develops , tsk uh , and i hope you will talk to me ;",
engl310_01,engl310_01_43,312.63,323.36,10.73,"; uh you can uh do that on email you can do that uh in my office , ; uh which is downstairs on the first floor of this building ; in uh l c one o nine ;",
engl310_01,engl310_01_44,322.99,329.72,6.73,"; uh you can um catch me after lecture or or before ; uh , we can have lunch ;",
engl310_01,engl310_01_45,329.41,337.35,7.94,"; uh , all sorts of um opportunities uh for talking an and uh i hope you’ll ; take advantage of it . tsk ;",
engl310_01,engl310_01_46,336.85,346.33,9.48,"; uh , for monday . we’re gonna start talking about robert frost ; uh , an and i’d like you to um ; tsk ;",
engl310_01,engl310_01_47,345.96,356.46,10.5,"; uh pay special attention to his poem mowing in the r i s packet , tsk uh and to his poem “birches” in the norton ; um ; and as you read ;",
engl310_01,engl310_01_48,356.22,364.02,7.8,"; pay , uh special attention to images of tools , ; work . ; uh play . ;",
engl310_01,engl310_01_49,363.56,373.1,9.54,"; uh , read frost’s uh . ; uh , short , poetic statement uh prose poetic statement ;",
engl310_01,engl310_01_50,372.81,380.59,7.78,"; uh in the ne in the norton called uh ; tsk uh the figure a poem makes . , . so . ;",
engl310_01,engl310_01_51,380.22,389.04,8.82,"; uh the norton anthology this book , tsk in uh this heavy book . uh ; i i order it as a as a way to um . tsk ;",
engl310_01,engl310_01_52,388.75,399.1,10.35,"; uh well reduce your expenses , um here’s , just one , big book to buy . ; uh , it also provides . needed . , annotation ;",
engl310_01,engl310_01_53,398.8,408.05,9.25,"; uh modern poetry is in need of annotation , tsk ; uh , this this new edition of this old . , book um is is an excellent one",cut on silence
engl310_01,engl310_01_54,409.01,418.28,9.27,"tsk uh you should read ; jahan ramazani’s introduction ; uh read his , prose notes uh you know um that , uh preface his various ;",starts with silence
engl310_01,engl310_01_55,418.12,426.68,8.56,"; selections , ; uh , having said that ; uh there’s really nothing so dead as the norton anthology ;",
engl310_01,engl310_01_56,426.31,435.16,8.85,; uh you know uh or or ponderous ; uh and and uh . ; uh you know i i do order it with with a little uh ;,
engl310_01,engl310_01_57,434.88,445.55,10.67,"; um . ,  well , some misgivings uh for that ; uh the poems come to you abstracted from the contexts in which they were originally produced ;",
engl310_01,engl310_01_58,445.22,454.15,8.93,"; uh and read , tsk ; uh you know from from their place in a body of work in a book in a magazine ; uh ;",
engl310_01,engl310_01_59,453.79,459.64,5.85,"; uh in a life . , that uh ; uh produced it , tsk ;",
engl310_01,engl310_01_60,459.32,468.79,9.47," ; uh , the um . , in order to counteract the packaged and monumental form of of the norton ; uh ;",
engl310_01,engl310_01_61,468.49,473.58,5.09,"; , i will be using beinecke’s and and sterling’s resources ;",
engl310_01,engl310_01_62,473.28,484.02,10.74,"; uh using uh uh power point uh . , digitized uh files ; uh this will uh allow me to project . uh images uh ;",
engl310_01,engl310_01_63,483.72,493.38,9.66,"; in class and for you to look at them . , later uh at at , home , tsk uh there will be , files for ; not all but most of the poets that we ;",
engl310_01,engl310_01_64,493.05,503.43,10.38,"; uh discuss ; uh and the aim is to give you some , sense , through , those images ; of modern poetry in its , historical ; uh ;",
engl310_01,engl310_01_65,503.15,510.38,7.23,; um material ; uh dimensions uh to to represent it as as something that was lived . ;,
engl310_01,engl310_01_66,510.1,515.44,5.34,"; uh , and , in many ways , is living , now , tsk ;",
engl310_01,engl310_01_67,514.96,525.93,10.97,"; now uh . , . , the poems that you’ll . , be reading we’ll be talking about did not of course ; always , exist , in , the form that you find them . ;",
engl310_01,engl310_01_68,525.51,530.69,5.18," ; uh their first form was very often ; , a manuscript . , tsk ; ",
engl310_01,engl310_01_69,530.44,540.02,9.58,"; uh , if you go to beinecke you can , you can find uh and we will go to beinecke those of you who who want to come with me ; uh an and look at um ;",
engl310_01,engl310_01_70,539.69,548.94,9.25,"; uh , manuscripts that were , early versions of uh texts that you , tsk uh now find in the norton and and other",cut on pause
engl310_01,engl310_01_71,549.19,559.76,10.57,"books , ; uh when , poems that , ; had gone through their processes of revision and so forth and came to publication ; they very often ; ",
engl310_01,engl310_01_72,559.52,564.47,4.95,"; uh were published , first ; uh not in in book form certainly ;",
engl310_01,engl310_01_73,564.23,572.76,8.53,"; uh but rather in little magazines , uh that are , now more or less lost to us ; today ; but were in fact the ;",
engl310_01,engl310_01_74,572.55,583.24,10.69,"; uh essential vehicle for the creation of modern poetry , . ; , tsk ; uh what is a little magazine . ; uh it is um . well  very often they were big ;",
engl310_01,engl310_01_75,582.92,592.28,9.36,"; uh you know , uh big in in format uh and size ; um ; they were little because , their circulation was small . ;",
engl310_01,engl310_01_76,591.87,601.72,9.85,"; uh these were the , funded on a shoestring ; uh ; magazines that , uh ; uh rose up and and , very frequently ;",
engl310_01,engl310_01_77,601.58,607.34,5.76,; faded away just as quickly ; uh in the ninteen tens and nineteen twenties ;,
engl310_01,engl310_01_78,606.89,614.86,7.97,"; uh and that were , in many cases the first avenue of publication for , stevens eliot ; uh moore ;",
engl310_01,engl310_01_79,614.56,620.97,6.41,"; uh the poems poets that you will be reading , in this class , tsk these magazines were ; ",
engl310_01,engl310_01_80,620.6,629.28,8.68,"; uh , acutely  uh aware of their , differences from the popular literary magazines of the nineteenth century , ;",
engl310_01,engl310_01_81,628.76,638.89,10.13,"; uh , general interest . ; uh popular magazines of the twentieth century ; uh magazines with wide , circulation ; ",
engl310_01,engl310_01_82,638.69,646.7,8.01,"; , polite , audiences . ; uh the little magazine was ; uh written to by , addressed to ;",
engl310_01,engl310_01_83,646.45,656.14,9.69,"; new , young , writers and artists ; uh and they were determined to , make , trouble , ; they uh , well . ;",
engl310_01,engl310_01_84,655.59,663,7.41,"; the the , uh , ; , nothing i i think captures the . ; a nerve . , ; of ;",
engl310_01,engl310_01_85,662.72,670.91,8.19,"; uh , these magazines , like the cover of , blast ; uh blast which meant , kaboom , tsk ;",
engl310_01,engl310_01_86,670.65,679.79,9.14,"; uh a magazine as a kind of , bomb , tsk ; uh a kind of bomb or maybe a curse. ; damn you . blast, ;",
engl310_01,engl310_01_87,679.38,686.7,7.32,"; uh , pound was , one of the ; uh contributors . ; uh , eliot’s ;",
engl310_01,engl310_01_88,686.48,692.73,6.25,; rhapsody on a windy night uh appeared here in uh uh this number of the magazine ;,
engl310_01,engl310_01_89,692.46,700.19,7.73,"; uh , from nineteen fifteen , tsk , july nineteen fifteen in the midst of the first world war , ;",
engl310_01,engl310_01_90,699.67,709.67,10,"; uh , . , it's it's , ; , ; rogue . ; another . , ; ",
engl310_01,engl310_01_91,709.33,718.89,9.56,"; also from nineteen fifteen , notice the price ; five cents  ; tsk ; uh stevens appeared here in this magazine . ;",
engl310_01,engl310_01_92,718.61,723.48,4.87,"; you could you could contrast the roguish ; uh and , fanciful ; ",
engl310_01,engl310_01_93,723.19,732.98,9.79,"; uh ; uh uh clearly done by hand title of the magazine with that machine type , blast ; uh uh both of these are . ;",
engl310_01,engl310_01_94,732.75,743.38,10.63,"; are , m , mischievous oppositional ; uh magazines uh but with very different styles , and attitudes . , tsk ; ",
engl310_01,engl310_01_95,742.28,748.64,6.36,"; here’s , another . , ; , ; . broom , ;",
engl310_01,engl310_01_96,748.26,755.3,7.04,"; uh this is , a magazine just slightly later uh this is an issue of nineteen twenty two , ;",
engl310_01,engl310_01_97,754.83,763.49,8.66,"; uh it’s a cover by uh ferdinand leger . , tsk hart crane would appear here . ; uh ; broom , ;",
engl310_01,engl310_01_98,763.33,771.63,8.3,"; broom meant to make a clean sweep of things . ; uh a clean sweep of what had come before . ; uh , it uh . ; ",
engl310_01,engl310_01_99,771.28,781.69,10.41,"; uh , and also clearly meant to have fun doing it . ; uh here oops , we uh i have gone too far . ; this is the back of the magazine . ;",
engl310_01,engl310_01_100,781.28,790.81,9.53,; you can i don’t know how well you can make it out but there’s a . ; there's a little broom guy there with glasses ; uh playing air guitar with his broom . ;,
engl310_01,engl310_01_101,790.42,798.94,8.52,"; uh , and and i guess this is , meant to capture the , pirit of the , contributors ; uh . ; uh ;",
engl310_01,engl310_01_102,798.7,805.8,7.1,"; contrast that , with . ; , . hm , ;",
engl310_01,engl310_01_103,804.54,812.02,7.48,"; , the magazine that flashed there a moment ago , the criterion . ; this is a long way from broom ;",
engl310_01,engl310_01_104,811.73,819.54,7.81,"; uh this is october nineteen twenty two . , tsk uh comes out just before , broom is created ;",
engl310_01,engl310_01_105,819.15,829.02,9.87,; uh here you’ve got a magazine that doesn’t present itself as attacking anything at all ; uh but rather as what as setting the standard ; the criterion . ;,
engl310_01,engl310_01_106,828.46,837.11,8.65,"; it looks official , doesn’t it ; uh the editor is . , t s eliot . ;",
engl310_01,engl310_01_107,836.7,845.69,8.99,"; uh , this is the first number of the magazine . , tsk ; uh , the magazine in many ways , announced , and facilitated ",cut on pause
engl310_01,engl310_01_108,845.8,854.24,8.44,"eliot’s rise to a kind of cultural , authority as a taste maker ; uh and with it ; uh certain ideas of modernism ;",
engl310_01,engl310_01_109,853.94,861.68,7.74,; uh this uh issue here october nineteen twenty two includes ; the waste land by t s eliot . ;,
engl310_01,engl310_01_110,861.4,870.85,9.45,"; uh it also includes a little bit further down the page of review and essay ; by valerie larbeau ; on a new novel , by james joyce ;",
engl310_01,engl310_01_111,870.65,876.21,5.56,"; called ulysses . , tsk ; uh . , that’s some sb ",cut on pause
engl310_01,engl310_01_112,876.3,886.3,10,"uh sense of the spectrum of of magazines that are coming out and all with with uh ; uh different roles to play in this culture and that position their , their ;",
engl310_01,engl310_01_113,886.05,896.01,9.96,"; writers and poets ; and artists associated with them in different ways , tsk ; book publication ; can be just as interesting , tsk and it can tell us ;",
engl310_01,engl310_01_114,895.74,906.38,10.64,"; just as much ; about , modern poetry , as magazines ; this is , the wind among the reeds  . , tsk ; author . , william butler yeats ; ",
engl310_01,engl310_01_115,906.11,916.99,10.88,"; uh , the year , eighteen ninety nine . on the verge , of , the new century , ; it’s a beautiful book it’s a book that wants to be beautiful ; ",
engl310_01,engl310_01_116,916.57,926.25,9.68,; uh ; that’s happy to be beautiful . ; uh it’s rich in color and texture . ; uh it’s designed embossed gilt ; uh it’s ;,
engl310_01,engl310_01_117,925.98,935.14,9.16,"; well , self consciously irish , celtic ; uh ; the there there’s a sense that you’re supposed to leave the bookstore with a with a kind of ;",
engl310_01,engl310_01_118,934.88,943,8.12,; talisman that you you have you have you have bought ; uh ; uh with uh with uh a celtic ; charm . ;,
engl310_01,engl310_01_119,942.57,949.7,7.13,"; contrast , this book , ; . prufrock , ;",
engl310_01,engl310_01_120,949.28,959.44,10.16,; uh and other observations the subtitle left off here of the cover ; of t s eliot’s ; uh great book published in nineteen seventeen ;,
engl310_01,engl310_01_121,959.05,967.24,8.19,"; hm this is a different ; different object isn’t it severe ; , unsentimental , dry ;",
engl310_01,engl310_01_122,966.9,977.51,10.61,"; uh so much so as to be maybe even a little bit , funny , ; and you laughed right ; uh and i think you’re supposed to  . ; uh it’s not entirely , serious . ;",
engl310_01,engl310_01_123,977.14,985.82,8.68,"; uh even as it , declares its seriousness . ; uh if , yeats’s book was , so ; ",
engl310_01,engl310_01_124,985.52,994.06,8.54,"; uh explicitly irish , look at this book ; uh , it has no , observable nationality at all does it ;",
engl310_01,engl310_01_125,993.8,1004.35,10.55,"; uh a certain kind of well you might say ; uh ; impersonality ; uh ; its rhetoric is so flat ; uh and unemotional . ; uh , ;",
engl310_01,engl310_01_126,1004.19,1014.02,9.83,"; uh so overtly un , rhetorical . ; uh ; it is in fact a very deliberate and self conscious repudiation of that late romantic aesthetic ;",
engl310_01,engl310_01_127,1013.78,1021.54,7.76,"; that yeats’s early book , and even the cover of that early book , represents , tsk prufrock , isn’t beautiful ;",
engl310_01,engl310_01_128,1021.24,1028.58,7.34,"; uh and its author is not a , bard . , ; . another book , ;",
engl310_01,engl310_01_129,1028.18,1038.53,10.35,"; another book cover . the weary blues by langston hughes , ; , ninteen twenty six , ; uh unlike prufrock this one is , full of color . ;",
engl310_01,engl310_01_130,1038.13,1048.06,9.93,"; uh and of course it is the work of , a poet . of color , ; uh the image presents the book ; , not as a work of poetry it'll all ; ",
engl310_01,engl310_01_131,1047.8,1058.62,10.82,"; uh but rather as a kind of music ; uh as a as a book of blues ; uh and it associates its uh its , poet singer with ; , honky tonk piano players ;",
engl310_01,engl310_01_132,1058.4,1067.8,9.4,"; not broom’s , bohemian , egghead air guitarist ; uh ; but uh another kind of , uh vernacular ; uh ;",
engl310_01,engl310_01_133,1067.62,1076.95,9.33,"; another kind of um , well celebration and and um ; um , uh another kind of , music , tsk ;",
engl310_01,engl310_01_134,1076.76,1087.04,10.28,"; it makes us think about black artists playing for a living ; in prohibition , era . , back rooms . , tsk ; now , ; , tsk poems ;",
engl310_01,engl310_01_135,1086.73,1097.17,10.44," ; uh . ; , like books . , ; , project an image , of , the poet , who produces them . ; uh ;",
engl310_01,engl310_01_136,1096.78,1104.94,8.16,"; , while the poet is creating her or his poems . ; the poet uh is also creating , a poet , ;",
engl310_01,engl310_01_137,1104.69,1113.3,8.61,"; uh a certain figure of , the poet , tsk a public image , of the poet , ; and this is an evolving project ;",
engl310_01,engl310_01_138,1112.9,1121.1,8.2,"; uh , uh a , a kind of work in progress that’s part of the work and part of the subject and part of what i will be talking about ; , here , ;",
engl310_01,engl310_01_139,1120.66,1128.4,7.74,"; let’s look . , for example at a series of , photos , of ezra pound . , ; , ;",
engl310_01,engl310_01_140,1128.17,1138.31,10.14,"; together , they , tell a kind of encapsulated , history of this ; central fascinating , problematic poet’s career , ;",
engl310_01,engl310_01_141,1137.64,1146.55,8.91,"; uh he begins as well . , ; as an aesthete , this is ninteen thirteen pound in london , ;",
engl310_01,engl310_01_142,1146.01,1155.7,9.69,"; uh , styling himself , isn’t he ; uh after those renaissance , artists , and poets ; uh whom ; he would uh ; ",
engl310_01,engl310_01_143,1155.41,1162.7,7.29,"; uh write about translate ; uh in this period ; it could be a miniature . , worn by ;",
engl310_01,engl310_01_144,1162.46,1172.54,10.08,"; a , provencal , damsel no . , ; well . , ; uh . ; here he is a little later . , pound after the war ;",
engl310_01,engl310_01_145,1172.28,1180.41,8.13,"; um , in uh uh nineteen twenty three ; uh in a sort of . ; full flower of modernism ; ",
engl310_01,engl310_01_146,1180.09,1190.47,10.38,"; uh . still a young man but he’s got that , cane , ; uh and , uh . ; uh he’s in paris . , tsk uh where where uh . ;",
engl310_01,engl310_01_147,1190.08,1200.47,10.39,"; uh he would . ; meet , ; uh eliot and work on the waste land . with him . ; well . , ; fast forward . twenty years . , ;",
engl310_01,engl310_01_148,1199.75,1208.25,8.5,"; this is pound . ; pound accused of treason . , pound accused of treason of his by his country, ;",
engl310_01,engl310_01_149,1207.78,1217.67,9.89,"; uh accused of treason as he tries to bend , the world to his , vision of it . tsk ;  and he escapes trial , only by ; ",
engl310_01,engl310_01_150,1217.38,1227.21,9.83,"; reason of insanity when he is brought from ; , italy , ; uh under charges of of having uh made broadcasts on fascist radio ; ",
engl310_01,engl310_01_151,1226.93,1236.29,9.36,"; uh back to the united states after an ordeal in ; uh a cage in uh pisa , where ; ",
engl310_01,engl310_01_152,1235.88,1241.55,5.67,"; uh he uh , poses for this photo ;",
engl310_01,engl310_01_153,1241.31,1251.83,10.52,"; uh , as uh an intake photo uh as he enters , saint elizabeth’s hospital ; uh for , the insane in washington . , tsk ;",
engl310_01,engl310_01_154,1251.56,1260.91,9.35,"; in this final photo , ; photo from nineteen seventy one back in italy in rapallo ; uh well here’s pound ; uh ;",
engl310_01,engl310_01_155,1260.65,1270.89,10.24,"; uh and , presenting us with an image ; of uh something that would have seemed impossible when he began which is ; an image of modernism grown old . ; uh ;",
engl310_01,engl310_01_156,1270.67,1280.43,9.76,"; old and and and blasted . no . ; uh in , many , senses , ; contrast , this this career , uh ; ",
engl310_01,engl310_01_157,1280.25,1290.86,10.61,"; encapsulated in those images , tsk with , ; , tsk , this one , ; who’s this , this is , uh the author of prufrock in fact this is the harvard student ;",
engl310_01,engl310_01_158,1290.65,1300.52,9.87,"; who wrote prufrock uh ; eliot , wrote prufrock , largely when uh ; still at harvard and then in the years immediately following . ; , ;",
engl310_01,engl310_01_159,1300.11,1309.78,9.67,"; , sexy . ; , uh a little uh maybe ; uh those full slightly parted lips , ; uh . ;",
engl310_01,engl310_01_160,1309.35,1319.86,10.51,"; that windswept hair the the general j crew look , ; uh . ; . ; no notice the handkerchief . , tsk ;",
engl310_01,engl310_01_161,1319.17,1327.56,8.39,"; . ; uh , . ; here here’s the editor of uh ; uh great editor of of of the publisher ;",
engl310_01,engl310_01_162,1327.28,1335.78,8.5,"; uh faber and faber . , tsk . thirty years later or more ; uh ; surrounded by books ;",
engl310_01,engl310_01_163,1335.5,1344.87,9.37,"; the cultural arbiter of the english speaking world. , tsk ; t s eliot at sixty . tsk ; uh that hair is now slicked down. ; tsk ;",
engl310_01,engl310_01_164,1344.56,1354.85,10.29,"; uh there are glasses between him and us , ; uh , tsk ; this is the young man who’s become a monument . ; uh , but really the costume’s the same one right . ;",
engl310_01,engl310_01_165,1354.59,1363.95,9.36,"; there’s the . , handkerchief . , tsk ; pound’s descent into infamy and insanity and indignity ;",
engl310_01,engl310_01_166,1363.6,1370.51,6.91,"; and eliot’s rise to the extraordinary cultural power ; uh and prestige , ;",
engl310_01,engl310_01_167,1370.17,1380.14,9.97,; uh that he occupied and that is represented by this and many other photos well these are key stories in modern poetry and they’re interestingly interlocking just as their two lives,cut on pause
engl310_01,engl310_01_168,1380.32,1387.14,6.82,"were , tsk ; . , tsk ; another modern poet ; this is ;",
engl310_01,engl310_01_169,1386.83,1395.61,8.78,"; this is an old woman called marianne moore , uh ; who became , ; a kind of civic icon . ;",
engl310_01,engl310_01_170,1395.26,1399.33,4.07,; uh uh who became uh a celebrity even ;,
engl310_01,engl310_01_171,1399.05,1409.98,10.93,; uh as an eccentric new yorker who wore tri cornered hats and went to baseball games and the zoo ; uh and uh ; uh here uh appears ;,
engl310_01,engl310_01_172,1409.75,1420.6,10.85,"; in ; uh , well her hair braided and wrapped around her head ; uh fanciful virginal ; uh kindly ; safely out of fashion ; ",
engl310_01,engl310_01_173,1420.28,1430.5,10.22,"; uh ; full of of , a kind of civic virtue ; uh the embodiment of a certain kind of popular idea of poetry and you you can’t read it but there’s a kind of ; ",
engl310_01,engl310_01_174,1430.28,1440.64,10.36,"; stamp of approval here from the governor nelson rockefeller , ; uh ; think of how far away this is from ezra pound in uh staint elizabeth’s hospital . ;",
engl310_01,engl310_01_175,1440.4,1449.76,9.36,"; this is another ; image of modern poetry , ; tsk ; but ; uh , moore’s , hair was not always done up . tsk ; uh ;",
engl310_01,engl310_01_176,1449.56,1458.15,8.59,"; this is the image of a child . uh also named , marianne moore ; with ; delicious prodigious ; locks; uh ;",
engl310_01,engl310_01_177,1457.89,1468.5,10.61,; it it uh reveals uh maybe a little bit of the ; uh power and extravagance and glory that you feel uh in her poems but that she preferred ; ,
engl310_01,engl310_01_178,1468.2,1476.39,8.19,"; uh always to uh restrain and bind and control ; uh in ; uh , extraordinary ways ;",
engl310_01,engl310_01_179,1476.18,1486.36,10.18,"; , and not always to hide . , tsk ; uh , . one of the , enduring works ; uh written in nineteen twenty two . , tsk ;",
engl310_01,engl310_01_180,1486.08,1495.51,9.43,"; uh the amazing year that the waste land and ulysses appeared and the criterion started its publication , tsk one of those ; amazing works ;",
engl310_01,engl310_01_181,1495.23,1503.27,8.04,"; uh is uh marianne moore’s poem , called , poetry , ; you’ve got a ; uh sample of it on your handout , ;",
engl310_01,engl310_01_182,1502.89,1511.55,8.66,"; moore , tsk uh who revised her poems , ; , just the same way she , ended up binding her hair tsk ;",
engl310_01,engl310_01_183,1511.2,1520.54,9.34,"; uh republished this poem eventually ; in short form ; uh very short , ; uh where , three pages were reduced ;",
engl310_01,engl310_01_184,1520.34,1530.61,10.27,"; tsk to , two sentences , ;  the first two sentences you see i too dislike it , ; , there are things important beyond all this fiddle , ;",
engl310_01,engl310_01_185,1530.09,1538.35,8.26,"; , reading it however ; with a perfect contempt for it ; one discovers in it after all ; , a place ;",
engl310_01,engl310_01_186,1538.11,1546.4,8.29,"; , for the genuine . , tsk ; some of what she cut out of the poem . tsk uh cut cut out of its later version , tsk ;",
engl310_01,engl310_01_187,1546.11,1554.88,8.77, ; uh is a list of what she had in mind as the genuine as examples of it ; uh which is the first quotation there ; uh uh again on your handout ;,
engl310_01,engl310_01_188,1554.73,1565.21,10.48,; the bat holding on upside down ; uh and so on ; uh ; a flea ;  the base ball fan the statistician . ; nor is it valid ;,
engl310_01,engl310_01_189,1565.03,1573.87,8.84,"; to discriminate against business documents and school books , ; all of these phenomena , are important . , ;",
engl310_01,engl310_01_190,1573.35,1581.06,7.71,"; the drive to include the world . ; uh moore’s omnivorous poems ; claim , for , poetry ;",
engl310_01,engl310_01_191,1580.78,1590.04,9.26,"; all the subjects that she mentions here and , indeed , many , many more , ; uh ; all these are new ; modern ; subjects ;",
engl310_01,engl310_01_192,1589.77,1599.95,10.18,"; because they represent dimensions of experience , formerly excluded from the , elevated idealized , discourse , that is poetry ;",
engl310_01,engl310_01_193,1599.71,1607.45,7.74,"; dimensions of experience excluded as , prosaic , tsk moore ; uh is quoting , here ;",
engl310_01,engl310_01_194,1607.25,1616.49,9.24,"; uh , in that phrase business documents and school books as she ; uh tells us ; from tolstoy . , ; a prose writer. , tsk ;",
engl310_01,engl310_01_195,1616.2,1622.12,5.92,"; uh but she goes further , than tolstoy ; in her commitment to the seemingly non poetic ;",
engl310_01,engl310_01_196,1621.82,1631.58,9.76,"; she will , not only include tolstoy’s prose she will not even discriminate against ; business documents , and school books . , tsk ; uh ;",
engl310_01,engl310_01_197,1631.42,1641.06,9.64,"; moore , exemplifies in this way uh uh kind ; key aspect of modern poetry ; , its , radical , heterogeneity ;",
engl310_01,engl310_01_198,1640.82,1651.23,10.41," ; uh its will to mix many kinds of materials and discourses ; uh to , make ; poetry ; reach out from ; the ;  ",
engl310_01,engl310_01_199,1651.01,1656.44,5.43,"; uh ; , um tsk rarified and limited domain of the poetic ; to ;",
engl310_01,engl310_01_200,1656.19,1665.79,9.6,"; uh ; keep including more and more of the world . , . tsk ; . the next quotation on your handout . tsk ; ",
engl310_01,engl310_01_201,1665.55,1676.09,10.54,"; this is another example of this ; uh ; . , . , i won’t sing for you ; uh or or or give you my italian ; uh but these these famous lines ;",
